Company Name,Price,Volume,MACD hist,ADX,ATR,EMA 200,RSI,Stochastic Oscillator,MACD hist sloap*,EMA 200 Sloap
ABB India Ltd.,8198.349609375,17347,1.7589025649859789,14.405906100945417,29.125264051575048,8229.412808699353,47.775984902536074,36.74081931921001,-0.16787039602584475,-3.807997620360659e-05
ACC Ltd.,2536.5,32698,0.8192867546617268,31.125658132961288,9.083710946297085,2550.3129986112613,39.36498958566185,29.87012987012987,-0.2127039268501516,-5.4730576245079065e-05
APL Apollo Tubes Ltd.,1598.25,36379,-0.7676733189156577,32.1496549662073,7.963121607965649,1649.0657682716906,33.23261192069944,19.267246376811595,-0.21407926895240958,-0.00031954402559763887
AU Small Finance Bank Ltd.,648.2999877929688,443005,-0.08257480749858104,16.629674305677927,3.07753762282827,631.8683163179335,55.04189477359181,54.16658719411013,-0.16092836253572962,0.00025473149775463293
Adani Energy Solutions Ltd.,1087.8499755859375,53716,-0.017734360570309082,10.69213936363778,4.151610631350148,1083.2590543248589,45.93873014087876,40.64103401005288,0.13180208402541815,4.241385596093746e-05
Adani Enterprises Ltd.,3255.0,103234,-3.0397107574547717,17.219919405659795,19.50991346643342,3225.407810140896,40.15945712665586,10.844860857530847,-1.2094307579097143,9.136987505615995e-05
Adani Green Energy Ltd.,1879.5999755859375,60190,0.7820371283613339,24.56979791417814,9.960953186577711,1875.6618817173394,48.20840450411676,38.43579004667525,0.07817199778063744,2.1057051162176392e-05
Adani Ports and Special Economic Zone Ltd.,1408.449951171875,187111,-0.5388210435218475,18.351237830983063,6.348462388644828,1394.8316805178142,45.32620684375124,6.954210406140407,-0.45870585986729795,9.717565159877028e-05
Adani Power Ltd.,678.25,343759,0.989289096426117,31.531004883165775,3.4545714197517574,679.8378112884242,48.7066422792096,69.1730876015915,-0.20588051934203766,-2.3528053662042887e-05
Adani Total Gas Ltd.,950.75,73634,-0.381641447289228,12.876254770193674,3.925387586412505,951.1870038416956,36.54893844753191,21.457623935594512,-0.048608961169800846,-4.6195092389078044e-06
Aditya Birla Capital Ltd.,226.0,307870,-0.1595528299888857,17.43646213383071,1.053173777020241,226.6250608686993,38.78764790868563,18.84041946227095,-0.01893433019421939,-2.7796543278291372e-05
Aditya Birla Fashion and Retail Ltd.,300.0,1903628,0.4563644052391931,35.860533595380296,2.414831418143243,281.9522871122407,74.94811077201649,88.57142857142857,0.05967712852144125,0.0006046134970775559
Alkem Laboratories Ltd.,5280.2001953125,27538,-9.604741517899747,22.665807189744328,44.38501278542084,5321.6358917026755,43.47830538421009,48.79247053628109,1.6303621483897768,-7.886806262956178e-05
Ambuja Cements Ltd.,631.0,166819,0.33405240889723975,17.968505502695812,2.5137088789050606,627.9317978168394,54.432399218973984,64.78861131647267,0.0003758317786610177,4.8868784224843044e-05
Apollo Hospitals Enterprise Ltd.,5903.4501953125,87638,-1.8520286854569772,16.48217994811514,15.624678486610359,5914.181292772276,42.019868872387235,15.118204488778055,-1.0946642206539208,-1.8269015941312168e-05
